id,word,emoji,category
cat,кот,😺,animal
dog,собака,🐶,animal
bird,птица,🐦,animal
mom,мама,👩,family
dad,папа,👨,family
brother,брат,👦,family
sister,сестра,👧,family
grandma,бабушка,👵,family
grandpa,дедушка,👴,family
school,школа,🏫,place
homme,дом,🏠,place,
park,парк,🏞,place
cinema,кино,🎦,place
theatre,театр,🎭,place
shop,магазин,🏪,place
apple,яблоко,🍎,food
banana,банан,🍌,food
orange,апельсин,🍊,food
cucamber,огурец,🥒,food
tomato,помидор,🍅,food
carrot,морковь,🥕,food
potato,картошка,🥔,food
cabbage,капуста,🥬,food
bread,хлеб,🍞,food
milk,молоко,🥛,food
water,вода,🚰,food
tea,чай,🍵,drink
coffee,кофе,☕️,drink
ice cream,мороженое,🍦,food
cake,торт,🍰,food
notebook,тетрадь,📓,thing
pen,ручка,🖊,thing
pencil,карандаш,✏️,thing
book,книга,📖,thing
phone,телефон,📱,thing
computer,компьютер,💻,thing
tv,телевизор,📺,thing
watch,часы,⌚️,thing
glasses,очки,👓,thing
hat,шляпа,🎩,thing
shoes,туфли,👞,dress
dress,платье,👗,dress
shirt,рубашка,👔,dress
pants,штаны,👖,dress
wheelchair,коляска,♿️,thing
